campaign,Sample_ID,transect_location,Abs_250nm_per_unitDOC,Abs_254nm_per_unitDOC,Abs_280nm__per_unitDOC,Abs_350nm_per_unitDOC,Abs_365nm_per_unitDOC,Abs_412nm_per_unitDOC,Abs_440nm_per_unitDOC,C_RSU_per_unitDOC,A_RSU_per_unitDOC,T_RSU_per_unitDOC,B_RSU_per_unitDOC,M_RSU_per_unitDOC,FDOM_RSU_per_unitDOC
EC1,K044,water,0.027576,0.026833,0.026833,0.0059787,0.0046573,0.0019974,0.0012733,0.13532,0.21685,0.056644,0.034207,0.1332,0.087011
EC1,K045,water,0.061653,0.060347,0.060347,0.019907,0.015992,0.0077554,0.0055187,0.1786,0.25432,0.047054,0.027662,0.15003,0.11807
EC1,K046,water,0.043943,0.042846,0.042846,0.012937,0.010312,0.0048807,0.0033295,0.20679,0.31555,0.077212,0.048758,0.19787,0.13854
EC1,K048,water,0.035852,0.034963,0.034963,0.01029,0.008165,0.0035005,0.002212,0.23675,0.36897,0.15279,0.12504,0.23916,0.14329
EC1,K049,water,0.027156,0.026491,0.026491,0.0050828,0.003906,0.0015894,0.0010176,0.11315,0.18437,0.055869,0.039222,0.12105,0.063752
EC1,K050,water,0.047443,0.046279,0.046279,0.013991,0.011073,0.0047492,0.0030803,0.1926,0.27324,0.057585,0.035178,0.17564,0.12185
EC1,K051,water,0.032848,0.032057,0.032057,0.0073173,0.0056654,0.0023689,0.0015023,0.16709,0.25739,0.063101,0.03826,0.16131,0.10865
EC1,K052,water,0.032497,0.031629,0.031629,0.0070686,0.0055349,0.0024245,0.001552,0.13858,0.2287,0.05827,0.038377,0.13857,0.085348
EC1,K054,water,0.043256,0.04225,0.04225,0.01144,0.0090243,0.0040471,0.0026819,0.22072,0.34516,0.064539,0.035559,0.20425,0.15698
EC1,K055,water,0.035661,0.03483,0.03483,0.010297,0.0083748,0.0043593,0.0031394,0.18715,0.28243,0.078741,0.048275,0.1811,0.11651
EC1,K056,water,0.041514,0.039551,0.039551,0.010779,0.0088503,0.0049047,0.0038724,0.17751,0.27543,0.063628,0.040326,0.17017,0.11947
EC1,K058,water,0.036984,0.036033,0.036033,0.0096142,0.0077974,0.0039576,0.0030359,0.18368,0.28879,0.062033,0.033097,0.17895,0.11906
EC1,K059,water,0.031219,0.030424,0.030424,0.0065991,0.0051534,0.0022244,0.0014169,0.13381,0.2179,0.053691,0.030348,0.13671,0.079905
EC1,K060,water,0.030857,0.03001,0.03001,0.0069105,0.0053929,0.0023841,0.0015878,0.15897,0.25462,0.072322,0.042997,0.15988,0.098488
EC1,K061,water,0.03906,0.03807,0.03807,0.010024,0.007894,0.0036174,0.0024681,0.23293,0.35639,0.07187,0.039012,0.22156,0.15744
EC1,K062,water,0.032311,0.031509,0.031509,0.0066824,0.0051152,0.0020656,0.0012961,0.1958,0.29962,0.077103,0.046437,0.19268,0.12218
