VALUE,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
9284,West Gulf Coastal Plain Small Stream and River Forest,9284,2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,668,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145,255,115,0.568627,1,0.45098
9288,Northeastern Interior Calcareous Oak Forest,9288,2359,Tr Northeastern Interior Calcareous Oak Forest,Tree,Hardwood,660,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
9289,Madrean Mesic Canyon Forest and Woodland,9289,2226,Tr Madrean Mesic Canyon Forest and Woodland,Tree,Conifer-Hardwood,610,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,237,0,0,0.929412,0
9290,Southeastern Great Plains Cliff,9290,2498,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
9295,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,9088,2544,Tr Boreal Jack Pine-Black Spruce-Hardwood Forest,Tree,Conifer-Hardwood,676,Jack Pine Forest,SAF 1: Jack Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
9301,California Ruderal Grassland and Meadow,9301,2270,Sh California Ruderal Grassland Meadow & Scrub,Herb,Exotic Herbaceous,704,Introduced Annual and Biennial Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
9302,Californian Ruderal Forest,9302,2271,Tr Californian Ruderal Forest,Tree,Exotic Tree-Shrub,707,Introduced Upland Vegetation-Treed,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,59,20,1,0.231373,0.078431
9303,Caribbean & Mesoamerican Lowland Ruderal Shrubland,9303,2884,Sh Caribbean & Mesoamerican Lowland Ruderal Grassland & Shrubland,Shrub,Shrubland,828,Caribbean Shrubland,LF 98: Caribbean Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,145,255,115,0.568627,1,0.45098
9304,Caribbean Forest Plantation,9304,2885,Tr Caribbean Forest Plantation,Tree,Hardwood,821,Caribbean Mixed Evergreen Deciduous Forest,LF 92: Caribbean Mixed Evergreen Deciduous Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,222,0,0,0.870588,0
9305,Caribbean Ruderal Dry Forest,9305,2888,Tr Caribbean Ruderal Dry Forest,Tree,Hardwood,821,Caribbean Mixed Evergreen Deciduous Forest,LF 92: Caribbean Mixed Evergreen Deciduous Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,222,0,0,0.870588,0
9307,Great Basin & Intermountain Introduced Annual and Biennial Forbland,9307,2272,He Great Basin & Intermountain Introduced Annual and Biennial Forbland,Herb,Exotic Herbaceous,704,Introduced Annual and Biennial Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
9308,Great Basin & Intermountain Introduced Annual Grassland,9308,2273,He Great Basin & Intermountain Introduced Annual Grassland,Herb,Exotic Herbaceous,702,Introduced Annual Grassland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
9309,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,9309,2274,He Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
9310,North American Warm Desert Ruderal & Planted Scrub,9310,2275,Sh North American Warm Desert Ruderal & Planted Scrub & Grassland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
9311,North Pacific Maritime Coastal Sand Dune Ruderal Scrub,9311,2276,Sh North Pacific Maritime Coastal Sand Dune Ruderal Scrub & Herb Vegetation,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
9312,Northeastern North American Temperate Forest Plantation,9312,2562,Tr Northeastern North American Temperate Forest Plantation,Tree,Conifer,731,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,158,67,14,0.619608,0.262745,0.054902
